,videoId,negative,positive,neutral
164,vXmzEtigG1U,-1,1,0
165,Bc0lOghngeY,-1,1,0
167,4oJ0j1OZSTU,-3,1,-1
168,ddn2X_hiEIg,-1,1,0
169,QnOFwm8So6Q,-1,1,0
170,u0X5k9vlJxk,-2,1,-1
171,jdgT9tvJPQk,-1,1,0
172,kD3K4bkhMSY,-1,1,0
173,3E3oV9ZadI0,-1,1,0
174,4p4-7DdClrs,-2,3,1
175,iHA1YVIkrGI,-1,1,0
176,zWT0FRepmQY,-1,1,0
177,b8QRVHJMXOw,-1,1,0
178,wcMLFMsIVis,-1,1,0
179,65i8YREVW54,-3,1,-1
180,2jZoy8B6YfU,-1,1,0
181,O_e4Ej7p0hM,-2,1,-1
182,OGksQm4zLAA,-1,1,0
183,LCQoxMIgn9M,-1,1,0
184,Bdex2J9Q0As,-1,1,0
185,eDZqThzUUdw,-1,1,0
187,dsJthbWVkLQ,-1,1,0
188,XBuPY7yBTNs,-1,1,0
189,HQ77IHKM81Q,-1,1,0
190,Vd-bGz8JXd8,-1,1,0
191,78PV6-5M6G0,-2,1,-1
192,Sa2ZfeAMJOU,-1,2,1
193,TZ6hcV6lbos,-1,1,0
194,7LGSDeRxJs0,-4,1,-1
195,PwSTWYCLxoI,-1,1,0
196,zutpumPFFDA,-1,1,0
197,-V81vwlhFIY,-1,1,0
198,C7W_uChJLvs,-3,1,-1
199,vbB1VyGneeQ,-1,1,0
200,dKBlALVpPxA,-2,1,-1
201,oKc6HPgC3uc,-3,1,-1
202,bZxaBSMSts8,-1,1,0
203,jXSYwfhZrzE,-1,1,0
204,zAzKu7jF83Q,-2,1,-1
205,swQHs1bAT_g,-1,1,0
206,LloszKN3_vs,-1,1,0
207,DzIkjaHVPeU,-1,1,0
208,NQwd40KFkOQ,-2,1,-1
209,hSWIjvZhE98,-1,1,0
210,P9LQOLvH0gw,-4,1,-1
211,MR2CnF2xSr0,-2,1,-1
212,bo3sB2wyU6o,-3,1,-1
213,MPxjznCO-uM,-1,1,0
214,rDuxY8ycZcU,-1,1,0
215,TmSUwcQGuCc,-3,1,-1
216,eYGjUMOgChI,-1,1,0
218,1mWssh1ldAs,-1,1,0
219,3zx0t-YgAbY,-1,1,0
220,vdJmyhqElTc,-1,1,0
221,PDSySmJChXg,-3,1,-1
222,SeZe8Jxpgm0,-1,1,0
223,yzGeR3CQuG0,-1,1,0
224,b-W0y0Z8z_Q,-1,1,0
225,vsn3SI_x5yc,-1,1,0
226,r5t1wcoy8lM,-1,1,0
228,2CVx3jaULz0,-3,1,-1
229,s0sXVn6DxTo,-1,1,0
230,0V4xP0nHDx4,-3,1,-1
231,JZcy28GS-sc,-4,1,-1
232,yqePxSlAArU,-1,1,0
233,LcdIMQNqSj0,-1,1,0
234,qm8_kWtN4m0,-1,1,0
235,lwjK_1RyfAI,-1,1,0
236,y0T6jwjjwso,-1,1,0
237,qOjSMoXbKww,-1,1,0
238,jEtJgKSmYTI,-2,1,-1
239,AuRNh6WggnM,-2,1,-1
240,KY_YUwYrQ2U,-1,1,0
241,Xye1lr1FhDo,-1,1,0
242,oYC2QO8a9Co,-3,1,-1
243,p_pFnxRCJmw,-3,1,-1
244,fRTic6mjCFk,-1,1,0
245,WPcoTAwJyTQ,-1,2,1
246,QDf4G7c2beM,-1,1,0
248,mYGvMnhZQFE,-1,1,0
250,WHrrQxqV-38,-3,1,-1
251,wZzRoYjkDMU,-1,1,0
252,Yh-dATJKnss,-1,1,0
253,jOR_MSktH5A,-2,2,-1
254,2I_K63hOgzk,-1,1,0
255,UjcApXvLZ0M,-1,1,0
256,FRjpcGBWbqs,-1,1,0
257,GB7UvkqGgQQ,-3,1,-1
258,4m5h9katXxk,-3,3,-1
259,Yig-ToJCK44,-1,1,0
260,rmihur5L_lI,-1,1,0
261,93RUXeh2nkg,-3,1,-1
262,wYeqGXvAUYE,-1,1,0
263,q4sltyhJiuo,-1,1,0
264,8A65JzDltY4,-2,1,-1
265,J-zdpKlBWEA,-2,1,-1
266,yFXAU-D-5uE,-1,3,1
267,d5XsJ6RnmYg,-1,1,0
268,ONed_7lOIlE,-1,1,0
269,dVHx0_6tNDM,-1,1,0
270,naeXggMpuO0,-1,1,0
271,jJ5oHByFPU4,-1,1,0
272,Ky-DQi3C8Dc,-3,1,-1
273,Gwkx8esYrzk,-3,1,-1
274,z5OYFCDOw7A,-1,1,0
275,ehuNxe5RfJ8,-1,1,0
276,vG85dNVuQxU,-3,1,-1
277,y7y_O9YBSds,-3,1,-1
278,o-TMOeCDeus,-1,1,0
279,ehrT5NCPjPo,-3,1,-1
280,UxdY81rEoMU,-1,1,0
281,cKZZZXTU_p0,-1,1,0
282,7WkalAqRt-E,-1,1,0
283,Bl0ZdVoHm_w,-1,2,1
284,6QXMq5mUyJs,-1,1,0
285,He7nNJ7_plo,-3,1,-1
286,BIBVADjvEss,-1,1,0
287,gwsFmhjZXs0,-1,1,0
288,ccMUWQ1pEqw,-1,1,0
289,0bs0B_zAafc,-1,1,0
290,aWrooTIshiw,-2,1,-1
291,Xacf1zal0k4,-1,1,0
292,t667dz3wWKc,-3,1,-1
293,rI0d0F2ZVfw,-2,1,-1
294,91OMXXQugIA,-1,1,0
295,ARlrlKfjCOc,-5,1,-1
296,kmG0pNO_N9U,-2,1,-1
297,TcoyIjreBDg,-3,1,-1
298,gD9JulHePh8,-1,1,0
299,-6esFKeYyDc,-2,1,-1
300,Aw5FGKrS608,-1,1,0
302,czhvDNcrqjw,-2,1,-1
303,7Dxxk_G_acw,-3,1,-1
304,St-utMyFRyA,-1,1,0
305,ZR6vXLoty5k,-1,1,0
306,_yn1MQjF5gs,-1,1,0
307,9yPnfDVd6Fc,-1,1,0
308,4l323XRdDSE,-1,1,0
309,KrIRwws7LGQ,-1,1,0
310,gqf97Fvg568,-1,1,0
311,gCqWWocnl68,-1,1,0
312,1CmKXrylPXU,-1,1,0
313,sQAGr1s1XFc,-1,1,0
314,-qDYi9HfQkI,-1,2,1
315,x0Co6ceNlwE,-1,1,0
316,SY9NjD_5WWo,-1,1,0
318,pHRu0VV-Dbw,-2,1,-1
319,XuzElBYhZOg,-1,2,1
320,tTIsN0mkIqI,-1,1,0
321,q6mlgKcpuaA,-1,1,0
322,aWHTlBU9IGM,-1,1,0
323,MRyGNxOmlpU,-3,1,-1
324,C14LJmj2w2A,-3,1,-1
325,H787Dj4oMWU,-1,1,0
326,-qxP2TzYcNw,-1,1,0
327,gdhekYExFh8,-3,1,-1
328,cet5TTcCY8Y,-3,1,-1
329,P2tbAdpK9wk,-2,1,-1
330,tMwFNMfjFuU,-1,1,0
331,hYEybJ1R64g,-1,1,0
332,jIMpjh_7-bw,-1,1,0
333,W2Z-iyJZDZE,-2,1,-1
334,Jvx_XIihmXs,-1,1,0
335,tsUJKYtSpWw,-1,1,0
336,7uX3XDu0x04,-2,1,-1
337,seVB4O6lSVQ,-1,1,0
338,x3bJr1d6120,-1,1,0
339,a9yO-K8mwL0,-1,1,0
340,H7JoKnIgfbE,-1,1,0
341,R7FAAfK78_M,-1,1,0
342,CRXSthcJYCI,-1,1,0
343,WkvPdUtYhX8,-1,2,1
344,vB3_49ULzf0,-1,1,0
345,NIDEvBH8QXM,-1,1,0
346,EuwMB1Dal-4,-1,1,0
347,0sNP5jgDa_g,-1,1,0
348,UcdgDbMpS5Q,-1,1,0
349,UkkkBP3Ca6Y,-1,1,0
350,NIDEvBH8QXM,-1,1,0
351,EuwMB1Dal-4,-1,1,0
352,0sNP5jgDa_g,-1,1,0
353,UcdgDbMpS5Q,-1,1,0
354,N3cB-4LaZsM,-3,1,-1
355,TBYDgJ9Wf0E,-1,1,0
356,lbQQtOJvSkA,-1,1,0
357,EhAemz1v7dQ,-1,1,0
358,8_ov4rllHLQ,-3,1,-1
359,yMfgctSXgBo,-1,1,0
360,vNrmpPraBIs,-1,1,0
361,LT4f2kXcPsY,-1,1,0
362,RXAirenteRA,-1,1,0
363,XAAi8fLeL1I,-3,1,-1
364,QlQ-MEZgRGY,-1,1,0
365,UeVfqiuZh9s,-1,1,0
366,CA1zUW4uOSw,-1,1,0
367,_LwH6O4jaXY,-1,1,0
368,ir4DgZFTbuY,-1,1,0
370,2bXn2F58OsM,-1,1,0
371,bNKdlnoAqIs,-1,1,0
372,2dLrTYDL0nM,-2,1,-1
373,Grv1RJkdyqI,-1,1,0
374,4vV5HKRXbwo,-1,1,0
375,jAa58N4Jlos,-1,1,0
376,1NBQZkySDY0,-4,1,-1
377,w3VUI3K2n5o,-1,1,0
378,7vOwjNTDwBE,-1,1,0
379,ZwyEW_rDeqQ,-1,1,0
380,G9AxUZwENfc,-1,1,0
